.,.,.,.,.,.,.,.,#,.,.,#,.,#,#,.,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,.,#,.,.,.,.,.,.,.,.,.
.,.,.,#,.,.,#,.,.,.,#,.,.,#,#,.,.,.,.,#,.,.,.,.,.,.,.,.,.,.,.
.,.,.,#,.,.,.,.,.,.,.,.,.,.,.,.,.,#,.,.,.,.,#,.,.,.,.,.,#,.,.
.,.,#,.,.,.,.,.,.,#,.,.,#,.,.,.,#,.,.,.,.,.,.,.,#,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
#,.,.,.,.,.,.,.,#,.,.,.,.,.,.,.,.,.,#,.,.,.,.,.,.,#,.,.,.,.,#
.,#,.,.,.,.,.,#,#,#,.,.,.,.,.,#,.,.,.,#,.,#,.,#,.,.,.,#,.,.,.
#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,.,.,.,.,#,.,#,.
.,.,.,.,.,.,.,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,.,.,.
.,.,.,#,.,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,.,.,.,.,#
.,.,.,.,#,.,.,.,.,#,.,.,.,.,.,.,.,#,.,.,.,#,.,.,.,.,.,.,.,.,.
.,.,#,#,.,#,.,.,.,.,.,.,.,.,.,.,.,.,#,.,.,#,.,.,.,.,.,.,.,.,.
.,.,.,.,.,#,#,.,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,#,.,.,#,#,#,.
.,.,.,.,.,.,.,.,.,.,.,#,.,.,.,.,#,.,.,.,.,#,.,.,.,.,.,.,.,.,.
#,.,.,.,.,.,#,.,.,.,#,.,.,.,#,.,#,.,#,.,#,.,#,#,.,#,.,.,.,#,.
.,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,.,.,.,.,#,#,.,.,.,.,.,.,.
.,.,.,.,.,#,.,.,#,.,.,.,.,.,.,#,.,.,.,.,#,.,.,.,.,.,.,.,#,#,.
.,.,.,.,.,#,.,.,.,.,.,.,.,.,#,.,.,.,.,.,.,.,#,.,.,.,.,.,.,.,.
.,.,.,#,.,.,.,#,#,.,.,.,#,.,.,#,#,.,.,.,#,.,.,.,.,.,#,#,.,.,.
.,.,.,.,.,#,.,.,.,.,.,.,.,.,.,#,.,#,#,#,.,.,.,#,#,.,.,.,#,.,.
.,#,.,#,#,.,.,.,#,.,.,.,.,.,.,.,.,#,.,#,.,#,.,#,.,.,.,.,#,.,.
.,.,.,.,#,.,.,.,.,.,.,#,#,.,#,.,.,.,#,.,.,.,.,.,#,.,.,.,.,#,.
.,.,.,.,.,.,.,#,#,#,.,.,.,.,.,.,.,.,.,.,#,.,.,#,.,.,#,.,.,.,.
.,.,.,.,.,.,#,.,.,.,#,.,#,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
